os_type,browser_type,screen_size,time_zone,purchase
0,2,0,0,1
0,0,4,2,0
0,0,2,1,0
0,2,1,1,0
0,0,1,0,1
1,0,0,1,1
1,0,0,1,1
0,0,5,1,0
1,1,9,0,0
0,0,3,0,1
0,3,1,0,1
3,0,7,1,0
0,0,6,0,1
0,2,1,1,0
0,2,4,2,0
3,1,16,1,1
0,0,9,0,0
0,0,1,0,1
0,0,3,0,1
0,3,20,3,1
0,2,0,0,1
0,1,0,1,1
1,2,0,1,1
1,1,4,0,1
1,1,1,1,1
0,4,20,3,1
0,0,20,3,1
0,0,20,3,1
0,0,0,1,1
0,2,3,0,1
1,1,0,0,1
0,3,20,3,0
0,2,20,0,1
0,0,0,1,1
1,1,0,0,1
0,0,0,1,1
1,0,11,1,1
0,0,13,2,0
1,1,0,3,1
0,0,20,0,1
0,0,2,0,0
0,2,0,1,1
1,2,8,3,1
0,0,0,0,1
1,0,0,0,1
1,0,20,3,1
3,0,3,3,1
0,0,1,0,1
1,1,9,0,1
2,0,7,3,1
1,0,13,1,1
1,0,4,3,1
2,0,0,1,1
1,0,0,0,1
0,0,1,0,1
1,1,1,2,1
0,0,1,0,0
0,0,20,0,1
0,0,5,0,1
1,0,20,2,0
0,0,0,0,1
2,0,20,0,1
1,0,1,3,0
0,0,8,0,1
0,4,0,1,1
0,0,9,0,0
0,0,4,0,0
0,0,1,0,1
1,0,3,1,1
0,0,0,0,1
0,2,20,1,0
0,4,2,0,0
0,0,0,0,1
0,3,2,2,0
3,0,2,1,0
1,0,1,0,1
0,0,0,0,1
0,0,6,1,0
0,0,12,1,0
1,2,0,3,0
0,0,2,0,1
0,2,5,0,0
1,0,2,0,1
0,0,1,0,0
0,0,0,0,0
0,2,1,2,0
3,0,13,1,0
0,0,6,0,1
0,0,2,0,0
0,0,2,0,1
1,0,1,1,0
3,1,7,3,1
1,0,11,3,1
0,0,12,1,0
3,0,19,0,1
0,0,14,0,0
0,0,3,0,1
0,3,4,2,0
0,0,2,1,0
1,1,20,0,0
1,0,0,1,1
0,0,9,1,0
1,0,20,3,1
3,0,1,1,0
0,0,1,3,1
1,0,6,0,1
0,0,5,1,0
0,0,0,0,1
0,0,8,0,1
0,2,0,0,0
0,0,15,1,0
3,0,4,0,0
0,2,1,3,0
0,0,6,3,0
3,2,1,0,1
1,1,15,1,1
0,0,7,1,0
0,3,2,0,0
0,4,5,1,0
1,1,0,1,1
1,1,6,0,1
3,4,5,0,1
1,0,3,3,1
1,0,0,1,1
0,0,3,1,0
0,0,20,1,1
3,0,1,3,1
1,0,20,0,1
0,0,0,3,1
0,0,20,0,1
0,0,5,1,0
1,0,6,0,0
3,2,8,3,1
0,0,10,1,0
1,0,20,1,1
